"year","country","sector","CO2GDPPPP","GDPpcPPP","old_share","POP","pop_urb_share","sec_share","CO2GDPPPP_q5","CO2GDPPPP_q16","CO2GDPPPP_q84","CO2GDPPPP_q95","GDPpcPPP_q5","GDPpcPPP_q16","GDPpcPPP_q84","GDPpcPPP_q95","old_share_q5","old_share_q16","old_share_q84","old_share_q95","POP_q5","POP_q16","POP_q84","POP_q95","pop_urb_share_q5","pop_urb_share_q16","pop_urb_share_q84","pop_urb_share_q95","sec_share_q5","sec_share_q16","sec_share_q84","sec_share_q95","total_emissions_MtCO2eq","total_emissions_q5_MtCO2eq","total_emissions_q16_MtCO2eq","total_emissions_q84_MtCO2eq","total_emissions_q95_MtCO2eq","japan_total_MtCO2eq"
2036,"JPN","agriculture",0.0747122920076507,46591.8567181017,0.657726139201367,116.585892281891,0.940678139643839,0.391130643233606,0.0481912254117803,0.0584897919992762,0.097632583354215,0.119823133066099,46591.8567168374,46591.8567174934,46591.8567185318,46591.8567188336,0.657726139183006,0.65772613918972,0.65772613922163,0.657726139244991,116.585892278105,116.58589227949,116.585892286052,116.585892291143,0.940678139621759,0.940678139629932,0.940678139665997,0.940678139690339,0.391130643223902,0.391130643227738,0.391130643243765,0.391130643255369,40.5833672799051,26.177248053351,31.77138121596,53.033562245584,65.0873649709493,1314.68147988107
2036,"JPN","buildings",0.157054477655591,46591.8567170529,0.657726139253094,116.585892283089,0.940678139659678,0.391130643235943,0.0764201864583639,0.107215640060089,0.217654594888908,0.282788981156399,46591.8567136576,46591.8567152304,46591.856718173,46591.8567187174,0.657726139188586,0.657726139206519,0.657726139325825,0.657726139385524,116.585892274924,116.585892278373,116.585892291021,116.585892301155,0.940678139614563,0.940678139630432,0.940678139705607,0.940678139750188,0.391130643217979,0.391130643225658,0.391130643251952,0.391130643269776,85.3112570875054,41.5110875504017,58.239033790385,118.228957079789,153.609650783109,1314.68147988107
2036,"JPN","energy",1.36862303286127,46591.8567182123,0.657726139201531,116.585892282595,0.940678139645093,0.391130643232434,0.982188037649699,1.13198498846591,1.66563703489093,1.92251382754209,46591.8567170591,46591.8567176399,46591.8567186354,46591.8567189327,0.657726139183486,0.657726139190077,0.657726139221243,0.657726139243547,116.585892278728,116.585892280187,116.585892286483,116.585892290919,0.940678139621762,0.940678139630564,0.940678139667512,0.940678139689087,0.391130643223196,0.39113064322707,0.391130643241071,0.391130643251252,743.429624763929,533.51994429939,614.888946751313,904.766240292919,1044.30051153586,1314.68147988107
2036,"JPN","industry",0.467240409931543,46591.8567180562,0.657726139206383,116.585892282972,0.940678139650132,0.391130643232823,0.385765142586343,0.418508786745134,0.521848428184997,0.564837190923005,46591.8567165135,46591.8567173011,46591.8567185574,46591.856718896,0.657726139183218,0.657726139191244,0.657726139233689,0.657726139266885,116.585892278237,116.585892280024,116.585892288079,116.585892294405,0.940678139622693,0.940678139632496,0.940678139676281,0.940678139701916,0.391130643222297,0.391130643226472,0.391130643243587,0.391130643255915,253.802803463622,209.545819636972,227.332013860523,283.465623346836,306.816918018081,1314.68147988107
2036,"JPN","transport",0.352643737221494,46591.856718161,0.657726139201985,116.585892281697,0.940678139651605,0.391130643234544,0.229734141537599,0.277845988025385,0.446386591304465,0.538023267401368,46591.8567170373,46591.8567175852,46591.8567185758,46591.8567188855,0.657726139182757,0.657726139189663,0.657726139222551,0.657726139243737,116.585892278155,116.58589227956,116.585892285347,116.585892289466,0.940678139624213,0.940678139633922,0.940678139678032,0.940678139701989,0.391130643224534,0.391130643228204,0.391130643244442,0.391130643255214,191.554427286105,124.790510263549,150.924640066695,242.475106797187,292.251720348272,1314.68147988107
2037,"JPN","energy",1.37694307734934,47087.6120620401,0.659216438519844,115.890631066735,0.94205802056901,0.386658677855628,0.970994469952501,1.12785688468529,1.69248356073898,1.96791426896821,47087.6120607965,47087.6120614244,47087.6120624904,47087.6120628056,0.659216438500769,0.659216438507692,0.659216438540776,0.65921643856448,115.890631062665,115.890631064204,115.8906310708,115.890631075473,0.942058020544375,0.942058020553572,0.942058020592676,0.942058020615469,0.386658677846007,0.386658677850003,0.386658677864696,0.386658677875377,751.399637974304,529.872952073061,615.472976898145,923.590492416412,1073.89339005831,1314.06701568378
2037,"JPN","industry",0.457305309100456,47087.6120618699,0.659216438525106,115.890631067127,0.942058020574403,0.386658677856043,0.373493905866324,0.407049814121274,0.513852618777042,0.558483237001563,47087.6120602116,47087.6120610585,47087.6120624048,47087.6120627639,0.65921643850055,0.65921643850907,0.65921643855409,0.65921643858938,115.890631062153,115.890631064026,115.890631072501,115.890631079117,0.942058020545303,0.942058020555659,0.942058020602126,0.942058020629283,0.386658677845055,0.386658677849398,0.386658677867448,0.386658677880425,249.552105207507,203.816112871822,222.127615879337,280.41004604811,304.765032794025,1314.06701568378
2037,"JPN","transport",0.346903533242711,47087.6120619816,0.659216438520314,115.890631065781,0.942058020575821,0.386658677857833,0.220590234488338,0.269634690890498,0.444916369853738,0.539959638573481,47087.6120607739,47087.6120613634,47087.6120624234,47087.6120627461,0.659216438500006,0.659216438507355,0.659216438542116,0.659216438564711,115.890631062057,115.890631063539,115.890631069624,115.89063107393,0.942058020546926,0.942058020557147,0.942058020603643,0.942058020628993,0.386658677847418,0.386658677851216,0.386658677868212,0.386658677879618,189.305711740862,120.376379429668,147.140003424661,242.791444855532,294.656680890392,1314.06701568378
2037,"JPN","buildings",0.153128789360975,47087.6120607717,0.659216438574963,115.890631067255,0.942058020584434,0.386658677859379,0.0716111754398395,0.102104791073742,0.216316814921656,0.285821628049555,47087.6120571041,47087.6120587978,47087.6120619808,47087.6120625614,0.659216438506389,0.659216438525363,0.659216438652742,0.659216438715867,115.890631058612,115.890631062271,115.890631075585,115.890631086322,0.942058020536594,0.94205802055338,0.942058020633199,0.942058020680195,0.386658677840562,0.386658677848605,0.386658677876139,0.386658677895053,83.5625806194457,39.078312083304,55.7187180124125,118.044368785529,155.973236208529,1314.06701568378
2037,"JPN","agriculture",0.0737527646948012,47087.6120619181,0.659216438519702,115.890631065983,0.94205802056768,0.386658677856836,0.0465270855083656,0.0570007675353542,0.0980105102582393,0.121656228827111,47087.6120605593,47087.6120612628,47087.6120623747,47087.612062695,0.659216438500278,0.659216438507378,0.659216438541145,0.659216438566193,115.890631062014,115.890631063465,115.89063107034,115.8906310757,0.942058020544359,0.942058020552977,0.942058020591111,0.942058020616767,0.386658677846756,0.386658677850733,0.386658677867519,0.386658677879751,40.246980141664,25.3898914072134,31.1053933851908,53.4844636176862,66.3879631638332,1314.06701568378
2038,"JPN","agriculture",0.0728282824013235,47595.0418473918,0.660724790799172,115.191373710126,0.943419162725852,0.382188498408741,0.0448971075891571,0.0554989441323447,0.0982427744778487,0.123535535149579,47595.041845929,47595.0418466866,47595.0418478782,47595.0418482146,0.660724790778678,0.660724790786147,0.660724790821914,0.660724790848171,115.191373705967,115.191373707488,115.191373714681,115.19137372025,0.943419162701246,0.943419162710328,0.943419162750506,0.943419162777861,0.382188498398242,0.382188498402385,0.382188498419919,0.382188498432826,39.9283844131851,24.6150109770513,30.4275084174479,53.861976906118,67.7288296952988,1314.06570580762
